"x";"y"
2;1.0035
4;1.0035
6;1.0005
8;0.9991
10;0.9981
12;0.9941
14;0.9916
16;0.9907
18;0.9882
20;0.9873
22;0.9836
24;0.9849
26;0.9813
28;0.9807
30;0.981
32;0.98
34;0.979
36;0.9741
38;0.9695
40;0.967
42;0.9645
44;0.9651
46;0.9615
48;0.9606
50;0.9577
52;0.9576
54;0.9542
56;0.9554
58;0.956
60;0.9544
62;0.9509
64;0.9444
66;0.9408
68;0.9375
70;0.9361
72;0.9337
74;0.9312
76;0.9299
78;0.9289
80;0.9272
82;0.9266
84;0.9254
86;0.925
88;0.9189
90;0.9198
92;0.9177
94;0.9128
96;0.9093
98;0.907
100;0.9055
102;0.9038
104;0.9013
106;0.9009
108;0.8979
110;0.8969
112;0.8959
114;0.8935
116;0.8932
118;0.89
120;0.8886
122;0.8871
124;0.8856
126;0.8847
128;0.8822
130;0.8809
132;0.8831
134;0.8838
136;0.8764
138;0.8744
140;0.8705
142;0.8694
144;0.87
146;0.8687
148;0.8681
150;0.8653
152;0.8626
154;0.8617
156;0.861
158;0.8597
160;0.858
162;0.8578
164;0.8564
166;0.8554
168;0.8534
170;0.8534
172;0.8488
174;0.8488
176;0.8481
178;0.8472
180;0.8472
182;0.8472
184;0.8458
186;0.8457
188;0.8457
190;0.8457
192;0.8451
194;0.8442
196;0.8442
198;0.8442
200;0.8428
202;0.8434
204;0.8426
206;0.8426
208;0.8421
210;0.8411
212;0.8411
214;0.8411
216;0.8398
218;0.8411
220;0.8411
222;0.84
224;0.838
226;0.8366
228;0.8341
230;0.8316
232;0.8304
234;0.829
236;0.8273
238;0.8273
240;0.8258
242;0.8229
244;0.8258
246;0.8243
248;0.8243
250;0.8227
252;0.8213
254;0.8227
256;0.8212
258;0.8198
260;0.8198
262;0.8207
264;0.8169
266;0.8126
268;0.8135
270;0.8155
272;0.8131
274;0.8147
276;0.8143
278;0.8122
280;0.8124
282;0.8085
284;0.8105
286;0.8093
288;0.8113
290;0.8089
292;0.8082
294;0.8059
296;0.8059
298;0.8074
