"x";"y"
0.0024;3.7273
0.0102;3.6732
0.0181;3.6523
0.0259;3.6394
0.0337;3.6282
0.0415;3.6134
0.0493;3.601
0.0571;3.592
0.0649;3.5812
0.0727;3.574
0.0805;3.5637
0.0883;3.5552
0.0961;3.5458
0.1039;3.5344
0.1117;3.5254
0.1195;3.5092
0.1273;3.4966
0.1351;3.4855
0.1429;3.4781
0.1507;3.4692
0.1586;3.4571
0.1664;3.45
0.1742;3.4424
0.182;3.4312
0.1898;3.4246
0.1976;3.4159
0.2054;3.4148
0.2132;3.4047
0.221;3.396
0.2288;3.396
0.2366;3.3881
0.2444;3.3796
0.2522;3.3796
0.26;3.3796
0.2678;3.3729
0.2756;3.3642
0.2834;3.3631
0.2912;3.3585
0.2991;3.3485
0.3069;3.3443
0.3147;3.3443
0.3225;3.3401
0.3303;3.3318
0.3381;3.3279
0.3459;3.3279
0.3537;3.3279
0.3615;3.3196
0.3693;3.3106
0.3771;3.3091
0.3849;3.3091
0.3927;3.3026
0.4005;3.2926
0.4083;3.2926
0.4161;3.2854
0.4239;3.2764
0.4318;3.2762
0.4396;3.2762
0.4474;3.2762
0.4552;3.2735
0.463;3.2634
0.4708;3.2574
0.4786;3.2574
0.4864;3.2574
0.4942;3.2525
0.502;3.2411
0.5098;3.2409
0.5176;3.2409
0.5254;3.2409
0.5332;3.2368
0.541;3.2281
0.5488;3.2221
0.5566;3.2214
0.5644;3.2161
0.5723;3.208
0.5801;3.208
0.5879;3.2007
0.5957;3.193
0.6035;3.1892
0.6113;3.1892
0.6191;3.1818
0.6269;3.1704
0.6347;3.1704
0.6425;3.1613
0.6503;3.154
0.6581;3.154
0.6659;3.154
0.6737;3.1458
0.6815;3.1358
0.6893;3.1268
0.6971;3.1175
0.7049;3.1088
0.7128;3.1023
0.7206;3.0911
0.7284;3.0835
0.7362;3.0748
0.744;3.0657
0.7518;3.0565
0.7596;3.0417
0.7674;3.0281
0.7752;3.0197
0.783;3.006
