"x";"y"
0;4.1124
0.0058;4.087
0.0116;4.064
0.0174;4.055
0.0232;4.043
0.029;4.0324
0.0349;4.0281
0.0407;4.0219
0.0465;4.016
0.0523;4.0077
0.0581;4.0005
0.0639;3.9926
0.0697;3.9863
0.0755;3.9838
0.0813;3.9802
0.0871;3.9742
0.0929;3.9666
0.0988;3.9589
0.1046;3.9513
0.1104;3.9442
0.1162;3.9398
0.122;3.9396
0.1278;3.9368
0.1336;3.9291
0.1394;3.9215
0.1452;3.9139
0.151;3.9063
0.1568;3.9053
0.1627;3.9032
0.1685;3.8947
0.1743;3.8864
0.1801;3.8788
0.1859;3.8712
0.1917;3.8651
0.1975;3.8628
0.2033;3.8615
0.2091;3.8578
0.2149;3.8506
0.2207;3.8433
0.2265;3.8407
0.2324;3.8375
0.2382;3.8312
0.244;3.8225
0.2498;3.8204
0.2556;3.8198
0.2614;3.8146
0.2672;3.8071
0.273;3.8071
0.2788;3.8021
0.2846;3.7971
0.2904;3.7965
0.2963;3.7965
0.3021;3.7884
0.3079;3.7858
0.3137;3.7805
0.3195;3.7729
0.3253;3.7653
0.3311;3.7619
0.3369;3.7619
0.3427;3.7619
0.3485;3.7587
0.3543;3.753
0.3602;3.7513
0.366;3.7498
0.3718;3.7447
0.3776;3.7407
0.3834;3.7399
0.3892;3.7348
0.395;3.7301
0.4008;3.7301
0.4066;3.7301
0.4124;3.7251
0.4182;3.72
0.4241;3.7195
0.4299;3.7152
0.4357;3.7088
0.4415;3.7088
0.4473;3.7088
0.4531;3.7088
0.4589;3.7039
0.4647;3.6989
0.4705;3.6982
0.4763;3.6982
0.4821;3.6942
0.488;3.6892
0.4938;3.6876
0.4996;3.6826
0.5054;3.6781
0.5112;3.677
0.517;3.677
0.5228;3.6758
0.5286;3.67
0.5344;3.6637
0.5402;3.6637
0.546;3.6637
0.5519;3.6637
0.5577;3.6637
0.5635;3.6637
0.5693;3.6629
0.5751;3.6556
0.5809;3.6531
0.5867;3.6531
0.5925;3.6531
0.5983;3.6531
0.6041;3.6531
0.6099;3.6467
0.6157;3.6411
0.6216;3.6398
0.6274;3.6398
0.6332;3.6398
0.639;3.6398
0.6448;3.6398
0.6506;3.6398
0.6564;3.6398
0.6622;3.6398
0.668;3.6398
0.6738;3.6389
0.6796;3.6349
0.6855;3.6292
0.6913;3.6292
0.6971;3.6292
0.7029;3.6292
0.7087;3.629
0.7145;3.6264
0.7203;3.6213
0.7261;3.6187
0.7319;3.6186
0.7377;3.6186
0.7435;3.6186
0.7494;3.6145
0.7552;3.6094
0.761;3.608
0.7668;3.608
0.7726;3.6064
0.7784;3.6024
0.7842;3.5986
0.79;3.5973
0.7958;3.5973
0.8016;3.5953
0.8074;3.5902
0.8133;3.5867
0.8191;3.5867
0.8249;3.5851
0.8307;3.5774
0.8365;3.5702
0.8423;3.5655
0.8481;3.5655
0.8539;3.5655
0.8597;3.5655
0.8655;3.5619
0.8713;3.5574
0.8772;3.5536
0.883;3.5475
0.8888;3.5395
0.8946;3.5353
0.9004;3.5328
0.9062;3.5281
0.912;3.5173
0.9178;3.5056
0.9236;3.4972
0.9294;3.4843
0.9352;3.4689
0.941;3.4511
0.9469;3.4333
0.9527;3.4057
0.9585;3.3684
0.9643;3.3258
0.9701;3.2742
0.9759;3.2009
0.9817;3.1172
0.9875;3.0319
