"x";"y"
0.0066;4.0163
0.0161;4.0015
0.0257;3.9868
0.0352;3.9694
0.0448;3.9649
0.0544;3.9523
0.0639;3.9366
0.0735;3.9364
0.083;3.9227
0.0926;3.9148
0.1022;3.9015
0.1117;3.8923
0.1213;3.8847
0.1308;3.8761
0.1404;3.8659
0.15;3.8511
0.1595;3.8471
0.1691;3.8384
0.1786;3.833
0.1882;3.8197
0.1978;3.8142
0.2073;3.8117
0.2169;3.7984
0.2264;3.7893
0.236;3.779
0.2456;3.779
0.2551;3.7683
0.2647;3.7625
0.2742;3.7606
0.2838;3.7476
0.2933;3.7437
0.3029;3.7437
0.3125;3.7293
0.322;3.7273
0.3316;3.7216
0.3411;3.7108
0.3507;3.7108
0.3603;3.7048
0.3698;3.692
0.3794;3.692
0.3889;3.692
0.3985;3.6798
0.4081;3.6756
0.4176;3.6756
0.4272;3.6702
0.4367;3.6591
0.4463;3.6591
0.4559;3.6591
0.4654;3.6572
0.475;3.6422
0.4845;3.6404
0.4941;3.6404
0.5037;3.6404
0.5132;3.6284
0.5228;3.6216
0.5323;3.6216
0.5419;3.6216
0.5514;3.6167
0.561;3.6075
0.5706;3.6075
0.5801;3.6075
0.5897;3.6075
0.5992;3.6043
0.6088;3.591
0.6184;3.5887
0.6279;3.5887
0.6375;3.5887
0.647;3.5887
0.6566;3.5887
0.6662;3.5887
0.6757;3.5866
0.6853;3.5716
0.6948;3.5699
0.7044;3.5699
0.714;3.5699
0.7235;3.5699
0.7331;3.5569
0.7426;3.5534
0.7522;3.5534
0.7618;3.5528
0.7713;3.5433
0.7809;3.537
0.7904;3.537
0.8;3.5343
0.8096;3.5189
0.8191;3.5182
0.8287;3.5085
0.8382;3.5017
0.8478;3.5017
0.8573;3.5017
0.8669;3.4997
0.8765;3.4853
0.886;3.4793
0.8956;3.4665
0.9051;3.4523
0.9147;3.4241
0.9243;3.4027
0.9338;3.3477
0.9434;3.2836
0.9529;3.1856
0.9625;3.053
