"x";"y"
0.0048;4.0979
0.0112;4.0792
0.0176;4.0655
0.0239;4.0554
0.0303;4.0472
0.0367;4.0398
0.0431;4.0338
0.0494;4.0287
0.0558;4.0232
0.0622;4.0187
0.0686;4.0137
0.075;4.0087
0.0813;4.0034
0.0877;3.9969
0.0941;3.9916
0.1005;3.9845
0.1068;3.9794
0.1132;3.973
0.1196;3.9673
0.126;3.961
0.1324;3.9552
0.1387;3.948
0.1451;3.9411
0.1515;3.934
0.1579;3.9269
0.1642;3.92
0.1706;3.9134
0.177;3.907
0.1834;3.8999
0.1898;3.8949
0.1961;3.8878
0.2025;3.8809
0.2089;3.8755
0.2153;3.8701
0.2216;3.8616
0.228;3.8555
0.2344;3.8494
0.2408;3.8429
0.2472;3.8383
0.2535;3.8334
0.2599;3.8276
0.2663;3.8223
0.2727;3.8173
0.2791;3.8112
0.2854;3.8062
0.2918;3.8001
0.2982;3.7951
0.3046;3.7901
0.3109;3.7851
0.3173;3.7801
0.3237;3.7761
0.3301;3.771
0.3365;3.765
0.3428;3.761
0.3492;3.7551
0.3556;3.7505
0.362;3.7449
0.3683;3.7399
0.3747;3.7349
0.3811;3.7298
0.3875;3.7248
0.3939;3.7198
0.4002;3.7144
0.4066;3.7087
0.413;3.7039
0.4194;3.6997
0.4257;3.6947
0.4321;3.6886
0.4385;3.6826
0.4449;3.6776
0.4513;3.6725
0.4576;3.6665
0.464;3.6615
0.4704;3.6554
0.4768;3.6504
0.4831;3.6459
0.4895;3.6414
0.4959;3.6365
0.5023;3.6313
0.5087;3.6253
0.515;3.6203
0.5214;3.6152
0.5278;3.6102
0.5342;3.6052
0.5405;3.6002
0.5469;3.5951
0.5533;3.5909
0.5597;3.5869
0.5661;3.5825
0.5724;3.5779
0.5788;3.5735
0.5852;3.5684
0.5916;3.5634
0.5979;3.5588
0.6043;3.5554
0.6107;3.5504
0.6171;3.5459
0.6235;3.5414
0.6298;3.5368
0.6362;3.5324
0.6426;3.5278
0.649;3.5244
0.6553;3.5204
0.6617;3.5159
0.6681;3.5114
0.6745;3.5064
0.6809;3.5034
0.6872;3.4984
0.6936;3.4934
0.7;3.4894
0.7064;3.4844
0.7127;3.4794
0.7191;3.4743
0.7255;3.4693
0.7319;3.4633
0.7383;3.4593
0.7446;3.4542
0.751;3.4503
0.7574;3.4452
0.7638;3.4381
0.7701;3.4322
0.7765;3.426
0.7829;3.4192
0.7893;3.4127
0.7957;3.4055
0.802;3.3986
0.8084;3.3916
0.8148;3.3836
0.8212;3.375
0.8275;3.3656
0.8339;3.3565
0.8403;3.345
0.8467;3.3344
0.8531;3.3231
0.8594;3.3101
0.8658;3.2961
0.8722;3.279
0.8786;3.2625
0.8849;3.2423
0.8913;3.2216
0.8977;3.1971
0.9041;3.1712
0.9105;3.1395
0.9168;3.1068
0.9232;3.0668
0.9296;3.0258
0.936;2.9761
0.9424;2.92
0.9487;2.8549
0.9551;2.783
0.9615;2.7134

