"x";"y"
0.0069;4.1648
0.0138;4.1538
0.0207;4.1423
0.0276;4.1333
0.0345;4.1237
0.0414;4.1162
0.0482;4.1097
0.0551;4.1027
0.062;4.0966
0.0689;4.0903
0.0758;4.0843
0.0827;4.0773
0.0896;4.0711
0.0965;4.0649
0.1034;4.0579
0.1103;4.0514
0.1171;4.0455
0.124;4.0385
0.1309;4.032
0.1378;4.0235
0.1447;4.017
0.1516;4.0095
0.1585;4.0013
0.1654;3.9934
0.1723;3.9863
0.1792;3.9802
0.186;3.972
0.1929;3.9648
0.1998;3.957
0.2067;3.9505
0.2136;3.9428
0.2205;3.9365
0.2274;3.9291
0.2343;3.9236
0.2412;3.9169
0.2481;3.9106
0.2549;3.9052
0.2618;3.8985
0.2687;3.8931
0.2756;3.8863
0.2825;3.8794
0.2894;3.8738
0.2963;3.8684
0.3032;3.8629
0.3101;3.8575
0.317;3.851
0.3238;3.8456
0.3307;3.8421
0.3376;3.8373
0.3445;3.8302
0.3514;3.8248
0.3583;3.8197
0.3652;3.8149
0.3721;3.8077
0.379;3.8026
0.3859;3.7975
0.3927;3.7924
0.3996;3.7863
0.4065;3.7819
0.4134;3.7771
0.4203;3.771
0.4272;3.7659
0.4341;3.7601
0.441;3.7556
0.4479;3.7493
0.4548;3.7437
0.4616;3.7383
0.4685;3.7334
0.4754;3.7284
0.4823;3.7229
0.4892;3.7185
0.4961;3.7129
0.503;3.7074
0.5099;3.7011
0.5168;3.6977
0.5237;3.6923
0.5305;3.6868
0.5374;3.6836
0.5443;3.6759
0.5512;3.6711
0.5581;3.6662
0.565;3.6616
0.5719;3.6582
0.5788;3.6529
0.5857;3.6491
0.5926;3.645
0.5994;3.6405
0.6063;3.6351
0.6132;3.63
0.6201;3.6263
0.627;3.6208
0.6339;3.6167
0.6408;3.612
0.6477;3.6075
0.6546;3.6034
0.6615;3.5996
0.6683;3.5933
0.6752;3.5902
0.6821;3.5858
0.689;3.5803
0.6959;3.5754
0.7028;3.5712
0.7097;3.565
0.7166;3.5601
0.7235;3.5549
0.7304;3.5495
0.7372;3.5447
0.7441;3.5398
0.751;3.5364
0.7579;3.5309
0.7648;3.5266
0.7717;3.5221
0.7786;3.5171
0.7855;3.5117
0.7924;3.5068
0.7993;3.5023
0.8061;3.4969
0.813;3.4922
0.8199;3.486
0.8268;3.4815
0.8337;3.4754
0.8406;3.4703
0.8475;3.4649
0.8544;3.4591
0.8613;3.453
0.8682;3.445
0.875;3.44
0.8819;3.4335
0.8888;3.4258
0.8957;3.4183
0.9026;3.411
0.9095;3.404
0.9164;3.394
0.9233;3.3853
0.9302;3.3755
0.9371;3.3671
0.9439;3.3504
0.9508;3.3399
0.9577;3.3312
0.9646;3.3194
0.9715;3.3058
0.9784;3.291
0.9853;3.2747
0.9922;3.2539
0.9991;3.2276
1.006;3.2013
1.0128;3.1709
1.0197;3.1351
1.0266;3.0927
1.0335;3.0488
1.0404;3.0087
